n, Tiempo_Final(s)
1000,0.00015489
2000,0.00033100
3000,0.00050993
4000,0.00067621
5000,0.00087189
6000,0.00108411
7000,0.00126282
8000,0.00145582
9000,0.00170054
10000,0.00189021
11000,0.00208871
12000,0.00228311
13000,0.00248721
14000,0.00280950
15000,0.00290282
16000,0.00311104
17000,0.00337696
18000,0.00368961
19000,0.00386104
20000,0.00422675
21000,0.00434246
22000,0.00468725
23000,0.00494475
24000,0.00522693
25000,0.00540696
26000,0.00629850
27000,0.00585814
28000,0.00612861
29000,0.00623314
30000,0.00663646
31000,0.00692107
32000,0.00700600
33000,0.00699164
34000,0.00722779
35000,0.00732586
36000,0.00752811
37000,0.00772886
38000,0.00799071
39000,0.00827575
40000,0.00848554
41000,0.00864832
42000,0.00887382
43000,0.00928039
44000,0.00941200
45000,0.00973968
46000,0.00988239
47000,0.01005354
48000,0.01029639
49000,0.01052132
50000,0.01069807
51000,0.01098036
52000,0.01121418
53000,0.01142404
54000,0.01241414
55000,0.01251279
56000,0.01240482
57000,0.01228782
58000,0.01252489
59000,0.01329625
60000,0.01352696
61000,0.01439721
62000,0.01708746
63000,0.01474000
64000,0.01472129
65000,0.01497786
66000,0.01461157
67000,0.01473236
68000,0.01499414
69000,0.01527486
70000,0.01549486
71000,0.01574050
72000,0.01598500
73000,0.01622829
74000,0.01639036
75000,0.01760057
76000,0.01713861
77000,0.01752921
78000,0.01760654
79000,0.01773311
80000,0.01796382
81000,0.01813789
82000,0.01829568
83000,0.01857193
84000,0.01885239
85000,0.01912793
86000,0.01941293
87000,0.01965193
88000,0.02009789
89000,0.02014850
90000,0.02036236
91000,0.02062961
92000,0.02084529
93000,0.02113400
94000,0.02131725
95000,0.02153229
96000,0.02176193
97000,0.02261061
98000,0.02215957
99000,0.02242354
100000,0.02274243
